ModelFamily	ModelSize	ModelSeed	ModelStep	CorrelatingVariable	PearsonR	SpearmanRho
pythia	70m	seed9	4000	Pile_1gram	0.6741444385690192	0.6844247768678264
pythia	70m	seed9	4000	wcd_cc	0.5984742288182128	0.618158457748143
pythia	70m	seed9	4000	ucd_cc	0.587745454319281	0.6090080328175019
pythia	70m	seed9	4000	wcd_wiki	0.48215114971222267	0.4809222648912587
pythia	70m	seed9	4000	ucd_wiki	0.45383590819979447	0.4491158207389799
pythia	70m	seed9	4000	OpenWebText_5gram	0.7758025469316869	0.7730621848225446
pythia	70m	seed9	4000	OpenWebText_4gram	0.7973539846232717	0.8021903432501734
pythia	70m	seed9	4000	OpenWebText_3gram	0.8255063645982388	0.8356886570828174
pythia	70m	seed9	4000	OpenWebText_2gram	0.8083058300744125	0.8168269541577033
pythia	70m	seed9	4000	OpenWebText_1gram	0.6700232301611562	0.6799761793971865
pythia	410m	seed8	16000	Pile_5gram	0.7589187404017397	0.7605521024890962
pythia	410m	seed8	16000	Pile_4gram	0.7861557984732233	0.7954989637401034
pythia	410m	seed8	16000	Pile_3gram	0.7863992418850169	0.7899846264960008
pythia	410m	seed8	16000	Pile_2gram	0.7151806204130567	0.7172299010932011
pythia	410m	seed8	16000	Pile_1gram	0.5569735299443822	0.560102730529947
pythia	410m	seed8	16000	wcd_cc	0.5098769211639377	0.5189181752841406
pythia	410m	seed8	16000	ucd_cc	0.501067474104162	0.5103648645490437
pythia	410m	seed8	16000	wcd_wiki	0.4413202691600295	0.4377112114634955
pythia	410m	seed8	16000	ucd_wiki	0.42186816278608086	0.4133635202033183
pythia	410m	seed8	16000	OpenWebText_5gram	0.7565353303366282	0.7623504001341143
pythia	410m	seed8	16000	OpenWebText_4gram	0.7702396545718038	0.781213242799643
pythia	410m	seed8	16000	OpenWebText_3gram	0.7731269545878309	0.7818593134221207
pythia	410m	seed8	16000	OpenWebText_2gram	0.7120164633830818	0.7152100002249968
