RegressionType	ModelFamily	ModelSize	ModelSeed	ModelStep	Rsquared	Rsquared_val
UnmatchedNgram_UCDWiki	pythia	410m	seed1234	143000	0.5917684505321876	0.5967772068607304
UnmatchedNgram_WCDWiki	pythia	410m	seed1234	143000	0.5860442477494134	0.5910902100358504
MatchedNgram_UCDCC	pythia	410m	seed1234	143000	0.6000901143587277	0.6040339825514105
MatchedNgram_WCDCC	pythia	410m	seed1234	143000	0.5984569726152338	0.6026803277413959
MatchedNgram_UCDWiki	pythia	410m	seed1234	143000	0.6102889248532335	0.6151076135944347
MatchedNgram_WCDWiki	pythia	410m	seed1234	143000	0.6059233897368916	0.6104942955482866
UnmatchedNgram_UCDCC	pythia	410m	seed1	0	0.0013562815381842341	0.0016425258467580583
UnmatchedNgram_WCDCC	pythia	410m	seed1	0	0.0009961741301877103	0.001302585016767166
UnmatchedNgram_UCDWiki	pythia	410m	seed1	0	0.0003950175691284086	0.0008699314033986383
UnmatchedNgram_WCDWiki	pythia	410m	seed1	0	0.0003849897012083714	0.000773604503050529
MatchedNgram_UCDCC	pythia	410m	seed1	0	0.0012263947948957243	0.001474674621138039
MatchedNgram_WCDCC	pythia	410m	seed1	0	0.0008939776822336487	0.0011574290708191715
MatchedNgram_UCDWiki	pythia	410m	seed1	0	0.0003084235067832841	0.0007511016494032852
MatchedNgram_WCDWiki	pythia	410m	seed1	0	0.00029564350319644106	0.0006559955626483926
UnmatchedNgram_UCDCC	pythia	70m	seed3	8	0.022521493581344365	0.019887833211179817
UnmatchedNgram_WCDCC	pythia	70m	seed3	8	0.02245731574484311	0.019693755095335552
UnmatchedNgram_UCDWiki	pythia	70m	seed3	8	0.024556115570809833	0.021759036404068954
UnmatchedNgram_WCDWiki	pythia	70m	seed3	8	0.026243397448097894	0.02321150243106962
MatchedNgram_UCDCC	pythia	70m	seed3	8	0.022986283333086277	0.020401935717528463
MatchedNgram_WCDCC	pythia	70m	seed3	8	0.022959647479949052	0.02025715526619043
MatchedNgram_UCDWiki	pythia	70m	seed3	8	0.02494029648691576	0.022259567600748098
MatchedNgram_WCDWiki	pythia	70m	seed3	8	0.026624136687206867	0.023730705997502266
UnmatchedNgram_UCDCC	pythia	1_4b	seed1234	143000	0.5467934609405873	0.5499020817066522
UnmatchedNgram_WCDCC	pythia	1_4b	seed1234	143000	0.5447124697300427	0.5479610554397982
UnmatchedNgram_UCDWiki	pythia	1_4b	seed1234	143000	0.5596251192488925	0.5630026779034831
UnmatchedNgram_WCDWiki	pythia	1_4b	seed1234	143000	0.5530780830234665	0.5567250520849348
MatchedNgram_UCDCC	pythia	1_4b	seed1234	143000	0.5749632662522803	0.5797527365970949
MatchedNgram_WCDCC	pythia	1_4b	seed1234	143000	0.5731146899196581	0.5780261216722931
MatchedNgram_UCDWiki	pythia	1_4b	seed1234	143000	0.5853460146437544	0.5905190280118396
MatchedNgram_WCDWiki	pythia	1_4b	seed1234	143000	0.5801313122756049	0.5852473618052243
UnmatchedNgram_UCDCC	pythia	160m	seed8	32	0.5621538899219538	0.5566221735291712
UnmatchedNgram_WCDCC	pythia	160m	seed8	32	0.5615214144742523	0.5555862778682321
UnmatchedNgram_UCDWiki	pythia	160m	seed8	32	0.574111608760945	0.5681970836439019
UnmatchedNgram_WCDWiki	pythia	160m	seed8	32	0.5793623010471447	0.5731953808438579
MatchedNgram_UCDCC	pythia	160m	seed8	32	0.5778621748499218	0.5730594103821421
MatchedNgram_WCDCC	pythia	160m	seed8	32	0.5776061627894975	0.5724295677368114
MatchedNgram_UCDWiki	pythia	160m	seed8	32	0.5882172911013277	0.5832855602051643
MatchedNgram_WCDWiki	pythia	160m	seed8	32	0.5934017598103309	0.5881977957211262
UnmatchedNgram_UCDCC	pythia	31m	seed6	2	0.0026792751498661005	0.0025744787924649737
UnmatchedNgram_WCDCC	pythia	31m	seed6	2	0.002578783065068424	0.0024228784931082936
UnmatchedNgram_UCDWiki	pythia	31m	seed6	2	0.003063079804100477	0.002986161729392034
UnmatchedNgram_WCDWiki	pythia	31m	seed6	2	0.0032433466196699623	0.0031983043620387175
MatchedNgram_UCDCC	pythia	31m	seed6	2	0.002457822951673516	0.002298765780874401
MatchedNgram_WCDCC	pythia	31m	seed6	2	0.0023636857344534468	0.002153897664602167
MatchedNgram_UCDWiki	pythia	31m	seed6	2	0.0029289675448892494	0.0027755302637147983
MatchedNgram_WCDWiki	pythia	31m	seed6	2	0.003098937741594865	0.002954690449812225
UnmatchedNgram_UCDCC	pythia	70m	seed1	256	0.8767461018186886	0.877056705604645
UnmatchedNgram_WCDCC	pythia	70m	seed1	256	0.8778509127145598	0.8782358734801061
UnmatchedNgram_UCDWiki	pythia	70m	seed1	256	0.8752247782845142	0.8756621245684746
UnmatchedNgram_WCDWiki	pythia	70m	seed1	256	0.8758241502691593	0.8763207612706931
MatchedNgram_UCDCC	pythia	70m	seed1	256	0.8852119623498209	0.8859354389458916
MatchedNgram_WCDCC	pythia	70m	seed1	256	0.8866333594422408	0.8874277648040465
MatchedNgram_UCDWiki	pythia	70m	seed1	256	0.8833653122098247	0.8842722178927587
MatchedNgram_WCDWiki	pythia	70m	seed1	256	0.8840417363603029	0.8849823442114471
UnmatchedNgram_UCDCC	pythia	410m	seed8	4	0.001477624833385538	0.0018842065330115787
UnmatchedNgram_WCDCC	pythia	410m	seed8	4	0.0016320170004605616	0.001844135645434286
UnmatchedNgram_UCDWiki	pythia	410m	seed8	4	0.0025827281255739187	0.0020312442624967897
UnmatchedNgram_WCDWiki	pythia	410m	seed8	4	0.0034079737361578655	0.0023511425555607923
MatchedNgram_UCDCC	pythia	410m	seed8	4	0.001384203253158356	0.0017600794838379397
MatchedNgram_WCDCC	pythia	410m	seed8	4	0.0014826218993210238	0.0016563786786653045
MatchedNgram_UCDWiki	pythia	410m	seed8	4	0.002463808555673186	0.0018231056123365619
MatchedNgram_WCDWiki	pythia	410m	seed8	4	0.003336025725788394	0.002165939819388063
UnmatchedNgram_UCDCC	pythia	410m	seed3	128	0.8382303199751069	0.836078663698878
UnmatchedNgram_WCDCC	pythia	410m	seed3	128	0.8390785782603605	0.8368111334520685
UnmatchedNgram_UCDWiki	pythia	410m	seed3	128	0.8377088387200611	0.8358828909593838
UnmatchedNgram_WCDWiki	pythia	410m	seed3	128	0.8390314437824851	0.8371656772328475
MatchedNgram_UCDCC	pythia	410m	seed3	128	0.8557622473998443	0.8543045890047452
MatchedNgram_WCDCC	pythia	410m	seed3	128	0.8568416623845571	0.8552475346494399
MatchedNgram_UCDWiki	pythia	410m	seed3	128	0.8547455347754469	0.8537163775358472
MatchedNgram_WCDWiki	pythia	410m	seed3	128	0.8560926639644079	0.8549830454317315
UnmatchedNgram_UCDCC	pythia	410m	seed9	16000	0.5948242875090695	0.5995441324926927
UnmatchedNgram_WCDCC	pythia	410m	seed9	16000	0.5931829660364095	0.5980847357053939
